Project Name,Package Name,Architecture Smell,Cause of the Smell
atmosphere_atmosphere,org.atmosphere.cpr,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 220
atmosphere_atmosphere,org.atmosphere.cpr,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.atmosphere.cpr; org.atmosphere.container
atmosphere_atmosphere,org.atmosphere.cpr,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.atmosphere.cpr; org.atmosphere.container; org.atmosphere.util
atmosphere_atmosphere,org.atmosphere.cpr,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.atmosphere.cpr; org.atmosphere.container; org.atmosphere.util; org.atmosphere.websocket
atmosphere_atmosphere,org.atmosphere.cpr,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.atmosphere.container; org.atmosphere.util; org.atmosphere.cache; org.atmosphere.pool; org.atmosphere.interceptor; org.atmosphere.websocket; org.atmosphere.handler; org.atmosphere.inject; org.atmosphere.lifecycle; org.atmosphere.annotation
atmosphere_atmosphere,org.atmosphere.cpr,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AtmosphereServlet; AtmosphereFrameworkTest; AtmosphereFrameworkTest.MyAtmosphereServlet; AtmosphereRequest; ApplicationConfig; HeaderConfig; AtmosphereServlet; AtmosphereResponseImpl; AtmosphereResponseImpl.Builder; AsyncSupport; FrameworkConfig; CompletionAware; AtmosphereResource; BroadcasterConfig; DefaultAtmosphereResourceSessionFactory; AtmosphereFilter; AtmosphereResourceSessionFactory; AtmosphereRequestImpl; AtmosphereRequestImpl.Builder; AtmosphereRequestImpl.NoOpsRequest; AtmosphereRequestImpl.CompletionAwareAsyncContext; BroadcastFilterAdapter; PerRequestBroadcastFilter; Meteor; AtmosphereResponse; DefaultBroadcasterFactory; AtmosphereFrameworkInitializer; DefaultAsyncSupportResolver; AtmosphereResourceSession; ContainerInitializer; BroadcastFilter; AsyncSupportListener; Deliver; AtmosphereConfig; DefaultBroadcaster; DefaultBroadcaster.WriteOperation; DefaultBroadcaster.AsyncWriteToken; AsyncIOWriter; AtmosphereResourceEventImpl; BroadcasterFuture; DefaultAtmosphereResourceFactory; AsyncSupportResolver; AsyncIOInterceptor; MetaBroadcaster; MetaBroadcaster.ThirtySecondsCache; AsynchronousProcessor; AtmosphereResourceImpl; AtmosphereResourceEvent; SessionTimeoutRestorer; AtmosphereInterceptorAdapter; DefaultAnnotationProcessor; AtmosphereFramework; AtmosphereFramework.MetaServiceAction; AtmosphereFramework.InstallMetaServiceProcedure; AnnotationHandler; SessionTimeoutSupport; AtmosphereObjectFactory; BroadcasterCache; AtmosphereHandler; DefaultMetaBroadcaster; SessionSupport; AsyncSupportListenerAdapter; Action; MeteorServlet; BroadcasterCacheListener; AnnotationProcessor; AtmosphereResourceFactory; Serializer; AtmosphereResourceEventListener; Universe; AtmosphereFrameworkListener; HeartbeatAtmosphereResourceEvent; AtmosphereInterceptorWriter; BroadcasterListenerTest; BroadcasterListenerTest.L; BroadcasterListenerAdapter; BroadcasterListener; AtmosphereSession; Broadcaster; AtmosphereFramework.AtmosphereHandlerWrapper; DefaultMetaBroadcaster.CompleteListener; BroadcasterListenerTest.CachedAR; BroadcasterListenerTest.BAR; BroadcasterListenerTest.AR; AtmosphereSessionTest; UrlMappingTest; UrlMappingTest.AH; BroadcasterCacheTest; BroadcasterCacheTest.AR; ExcludeSessionBroadcasterTest; ExcludeSessionBroadcasterTest.AR; SessionTest; MetaBroadcasterTest; BroadcasterFactory; AtmosphereResourceFactoryTest; BroadcastFilterTest; BroadcastFilterTest.PerRequestFilter; BroadcastFilterTest.VoidAtmosphereResource; BroadcastFilterTest.AbortFilter; BroadcastFilterTest.AbortFilter2; BroadcastFilterTest.SlipFilter; BroadcastFilterTest.DoNohingFilter; BroadcastFilterTest.Filter; BroadcastFilterTest.AR; MeteorTest; AtmosphereFrameworkTest.MyInterceptor; AtmosphereInterceptor; AtmosphereFrameworkTest.MyBroadcasterFactory; AtmosphereInterceptorWriterTest; AtmosphereInterceptorWriterTest.TestFilter; DefaultAtmosphereResourceSessionFactoryTest; PoolableBroadcasterFactoryTest; WriteTimeoutTest; WriteTimeoutTest.AR; AtmosphereHandlerTest; AtmosphereResourceListenerTest; AtmosphereResourceEventListenerAdapter; AtmosphereResourceEventListenerAdapter.OnHeartbeat; AtmosphereResourceEventListenerAdapter.OnSuspend; AtmosphereResourceEventListenerAdapter.OnPreSuspend; AtmosphereResourceEventListenerAdapter.OnResume; AtmosphereResourceEventListenerAdapter.OnDisconnect; AtmosphereResourceEventListenerAdapter.OnBroadcast; AtmosphereResourceEventListenerAdapter.OnThrowable; AtmosphereResourceEventListenerAdapter.OnClose; AtmosphereRequestTest; QueryStringTest; DefaultAsyncSupportResolverTest; DefaultAsyncSupportResolverTest.InvalidAsyncSupportClass; ServiceTest; ServiceTest.C; AtmosphereFrameworkListenerAdapter; AtmosphereInterceptorTest; ConcurrentBroadcasterTest; ConcurrentBroadcasterTest.AR; ConcurrentBroadcasterTest.AR2; AtmosphereResponseImplTest; BroadcasterTest; BroadcasterTest.AR; CookieTest; WebSocketFactoryTest; TrackMessageSizeInterceptorTest; WebSocketProcessorFactory; AtmosphereResourceStateRecoveryTest; WebSocketStreamingHandlerTest; AtmosphereMappingException; AtmosphereResourceTest; AtmosphereResourceTest.TestAsyncIOWriter; AsyncIOInterceptorTest; WebSocketProcessorTest; UUIDBroadcasterCacheThreadingTest; DefaultBroadcasterTest; DefaultBroadcasterTest.B; DefaultBroadcasterFactoryTest; DefaultBroadcasterFactoryTest.TestBroadcaster; UUIDBroadcasterCacheTest; UUIDBroadcasterCacheTest.AR; BroadcasterLifecyclePolicyTest; BroadcasterLifeCyclePolicy; BroadcasterLifecyclePolicyTest.AR; WebSocketHandlerTest; WebSocketHandlerTest.EchoHandler; BroadcasterLifeCyclePolicyListener; BroadcasterLifeCyclePolicyListenerAdapter; ClusterBroadcastFilter; BroadcastFilterLifecycle; AsyncIOInterceptorAdapter; DefaultAtmosphereResourceSession; AnnotationScanningServletContainerInitializer; AsyncIOWriterAdapter; AtmosphereResourceListener; AtmosphereResourceListenerAdapter; AtmosphereResourceHeartbeatEventListener; AtmosphereServletProcessor; DefaultAnnotationProcessor.ServletContainerInitializerAnnotationProcessor; DefaultAnnotationProcessor.BytecodeBasedAnnotationProcessor; AtmosphereFramework.DefaultAtmosphereObjectFactory]; [AtmosphereHandlerTest.AR]; [ServiceTest.B]; [WebSocketFactoryTest.CustomFactory]; [TrackMessageSizeInterceptorTest.ArrayBaseWebSocket]; [WebSocketStreamingHandlerTest.EchoHandler]; [WebSocketStreamingHandlerTest.ArrayBaseWebSocket]; [WebSocketProcessorTest.ArrayBaseWebSocket]; [BroadcasterLifecyclePolicyTest.B]; [WebSocketHandlerTest.ArrayBaseWebSocket]; [BroadcasterLifeCyclePolicy.ATMOSPHERE_RESOURCE_POLICY]; [BroadcasterLifeCyclePolicy.Builder]; [AtmosphereRequest.LocalAttributes]; [AtmosphereRequest.Builder]; [BroadcasterFactory.BroadcasterCreationException]; [BroadcasterListener.BroadcastListenerException]; [AtmosphereResponseImpl.Stream]; [AtmosphereResponseImpl.Writer]; [Broadcaster.SCOPE]; [Broadcaster.POLICY]; [AtmosphereResource.TRANSPORT]; [BroadcasterConfig.FilterManipulator]; [AtmosphereRequestImpl.ByteInputStream]; [AtmosphereRequestImpl.Body]; [AtmosphereRequestImpl.IS]; [AtmosphereRequestImpl.LazyComputation]; [AtmosphereRequestImpl.NoOpsAsyncContext]; [AtmosphereResponse.Builder]; [DefaultBroadcasterFactory.CreateBroacasterFunction]; [BroadcastFilter.BroadcastAction]; [BroadcastFilter.ACTION]; [Deliver.TYPE]; [AtmosphereConfig.ShutdownHook]; [AtmosphereConfig.StartupHook]; [DefaultBroadcaster.WriteQueue]; [MetaBroadcaster.MetaBroadcasterCache]; [MetaBroadcaster.NoCache]; [AtmosphereFramework.MetaServiceProcedure]; [AtmosphereFramework.ExcludeMetaServiceProcedure]; [AtmosphereFramework.InterceptorComparator]; [DefaultMetaBroadcaster.MetaBroadcasterFuture]; [Action.TYPE]; [KeepOpenStreamAware]; [AtmosphereResourceFactory.Async]. LCC (Lack of Component Cohesion) = 0.2
atmosphere_atmosphere,org.atmosphere.jersey,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 31
atmosphere_atmosphere,org.atmosphere.jersey,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseTest; QueryStringTest; MappingResourceTest]; [BaseTest.TestHelper]; [WriteTimeoutTest]; [WriteTimeoutTest.F]; [WriteTimeoutTest.J; JerseyBroadcaster]; [TestResource]; [AtmosphereResourceConfigurator; BroadcasterFactoryInjector; BroadcasterFactoryInjector.PerRequest; BroadcasterFactoryInjector.Singleton; AtmosphereFilter; AtmosphereProviders; AtmosphereProviders.BroadcasterProvider; AtmosphereProviders.BroadcasterStringReader; BroadcasterInjector; BroadcasterInjector.PerRequest; BroadcasterInjector.Singleton; AtmosphereResourceInjector; AtmosphereResourceInjector.PerRequest; AtmosphereResourceInjector.Singleton; BaseInjectableProvider]; [SuspendResponse]; [SuspendResponse.SuspendResponseBuilder]; [SuspendResponse.TimeSpan]; [BroadcasterFactoryInjector.BroadcasterFactoryProxy]; [Broadcastable]; [AtmosphereFilter.Action]; [AtmosphereFilter.Filter]. LCC (Lack of Component Cohesion) = 0.45
atmosphere_atmosphere,org.atmosphere.websocket,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.atmosphere.websocket; org.atmosphere.cpr
atmosphere_atmosphere,org.atmosphere.websocket,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.atmosphere.websocket; org.atmosphere.cpr; org.atmosphere.container
