Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereServlet,AtmosphereServlet,3,1,0,51,0,,
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereServlet,AtmosphereServlet,3,1,1,58,0,,
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereServlet,AtmosphereServlet,3,1,2,67,0,,
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereServlet,destroy,3,1,0,77,0,,
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereServlet,init,4,1,1,82,0,org.atmosphere.cpr.AtmosphereServlet,org.atmosphere.cpr.AtmosphereServlet
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereServlet,configureFramework,3,1,1,88,0,org.atmosphere.cpr.AtmosphereServlet,org.atmosphere.cpr.AtmosphereServlet
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereServlet,configureFramework,4,1,2,92,0,,
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereServlet,newAtmosphereFramework,3,1,0,97,0,,
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereServlet,framework,3,1,0,101,0,,
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereServlet,doHead,3,1,2,105,0,org.atmosphere.cpr.AtmosphereServlet,org.atmosphere.cpr.AtmosphereServlet
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereServlet,doOptions,3,1,2,119,0,org.atmosphere.cpr.AtmosphereServlet,org.atmosphere.cpr.AtmosphereServlet
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereServlet,doTrace,3,1,2,133,0,org.atmosphere.cpr.AtmosphereServlet,org.atmosphere.cpr.AtmosphereServlet
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereServlet,doDelete,3,1,2,147,0,org.atmosphere.cpr.AtmosphereServlet,org.atmosphere.cpr.AtmosphereServlet
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereServlet,doPut,3,1,2,161,0,org.atmosphere.cpr.AtmosphereServlet,org.atmosphere.cpr.AtmosphereServlet
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereServlet,doGet,3,1,2,175,0,org.atmosphere.cpr.AtmosphereServlet,org.atmosphere.cpr.AtmosphereServlet
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereServlet,doPost,3,1,2,189,0,,
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereServlet,event,25,6,1,203,0,,
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereServlet,event,43,10,1,241,0,,
atmosphere_atmosphere,org.atmosphere.cpr,AtmosphereServlet,event,27,5,1,292,0,,
